Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
carboxylic ester hydrolase activity (GO:0052689)	2/104	0.736302654	0.771020264	0.82785822	0.863499865	1.091131117	-0.334010544	GDPD1;LIPA
transcription coactivator activity (GO:0003713)	6/292	0.739596796	0.772951161	0.882196386	0.902515688	1.298682023	-0.391747577	HELZ2;FOXC1;CIITA;MED24;LPIN1;NFKB2
protein kinase regulator activity (GO:0019887)	2/108	0.755073845	0.787581917	0.843151097	0.877733467	0.173887565	-0.048851925	PRKAR2B;NCKAP1L
protein kinase activator activity (GO:0030295)	Jan-56	0.757535394	0.788606182	0.821632692	0.862067372	-0.121184542	0.033651132	NCKAP1L
serine-type endopeptidase inhibitor activity (GO:0004867)	Jan-57	0.763601872	0.7918284	0.826959581	0.863499865	0.139969623	-0.03775103	APP
phosphoric ester hydrolase activity (GO:0042578)	Jan-57	0.763601872	0.7918284	0.826959581	0.863499865	1.045512191	-0.281983771	PLPP3
sequence-specific DNA binding (GO:0043565)	8/395	0.772513208	0.79951367	0.91648796	0.928684568	1.0272487	-0.26513923	MEF2C;FOXC1;HHEX;BCL6;ERF;IRF5;TBX2;TEAD3
ligand-gated cation channel activity (GO:0099094)	Jan-61	0.786390201	0.810727228	0.846727098	0.878026348	0.218826602	-0.052584508	ASIC2
microtubule motor activity (GO:0003777)	Jan-61	0.786390201	0.810727228	0.846727098	0.878026348	0.815515623	-0.195970175	KIF16B
chloride channel activity (GO:0005254)	Jan-62	0.79173607	0.81466279	0.851306497	0.879353417	0.995472409	-0.232469872	SLC1A4
UDP-glycosyltransferase activity (GO:0008194)	Jan-64	0.802030559	0.823665295	0.860060023	0.886676968	1.958457563	-0.432052519	B4GALT1
anion channel activity (GO:0005253)	Jan-67	0.816527868	0.836941065	0.872236159	0.897493962	0.358510632	-0.072668039	SLC1A4
"translation factor activity, RNA binding (GO:0008135)"	Jan-68	0.821120884	0.838424198	0.876055364	0.897956748	0.151317827	-0.029822465	CPEB2
methyltransferase activity (GO:0008168)	Jan-68	0.821120884	0.838424198	0.876055364	0.897956748	0.501759676	-0.098889276	NDUFAF7
DNA-dependent ATPase activity (GO:0008094)	Jan-73	0.842420795	0.856889855	0.893509831	0.910594149	0.173668923	-0.029779988	TTF2
heme binding (GO:0020037)	Jan-73	0.842420795	0.856889855	0.893509831	0.910594149	0.976679508	-0.167476737	HMOX1
steroid hormone receptor binding (GO:0035258)	Jan-77	0.857622868	0.870691407	0.905690725	0.921246482	-0.146453771	0.022493955	ZNF366
calcium ion transmembrane transporter activity (GO:0015085)	Jan-78	0.861188906	0.872649595	0.908512286	0.922356283	0.448800136	-0.067069318	PSEN1
tubulin binding (GO:0015631)	4/256	0.884827183	0.894901116	0.953209114	0.958604638	0.425820744	-0.052104673	SUN2;MAP7D3;KIF16B;MAP1A
voltage-gated potassium channel activity (GO:0005249)	Jan-86	0.88668811	0.895084777	0.928255501	0.938823875	1.072270424	-0.128953367	KCNIP2
single-stranded DNA binding (GO:0003697)	Jan-88	0.892295783	0.899042821	0.932487586	0.941317961	0.77338483	-0.088133084	NABP1
G-protein coupled receptor activity (GO:0004930)	4/268	0.90475232	0.909873559	0.96354511	0.967174282	0.394913268	-0.039528469	FRZB;LPAR6;PTAFR;HTR2A
calcium channel activity (GO:0005262)	Jan-94	0.907510821	0.910928941	0.943747573	0.950883661	1.243457701	-0.120677307	PSEN1
mRNA binding (GO:0003729)	2/180	0.941416764	0.943186344	0.973683511	0.975513744	0.424982748	-0.025655929	CPEB2;TP53
RNA binding (GO:0003723)	21/1388	0.99636006	0.99636006	0.999949254	0.999949254	1.382193166	-0.005040278	GRN;SF3B2;LRP1;FNDC3B;DICER1;DDX60;C14ORF93;PARP12;BICC1;IFIT3;IFIT2;IFIH1;HELZ2;OAS1;OAS3;RCAN3;MYH9;ARHGEF1;PFN1;CPEB2;SLC16A3
